Name	Birthday	Email Address
Lily Moonstone	2005-02-14	lily.moonstone@hogwarts.edu
Jasper Nightshade	2004-08-23	jasper.nightshade@hogwarts.edu
Freya Spellbound	2006-05-30	freya.spellbound@hogwarts.edu
Orion Blackwood	2005-11-11	orion.blackwood@hogwarts.edu
Elara Fawley	2004-09-09	elara.fawley@hogwarts.edu
Milo Thistlethorn	2005-03-15	milo.thistlethorn@hogwarts.edu
Hazel Greenwitch	2006-06-20	hazel.greenwitch@hogwarts.edu
Felix Goldberry	2004-12-01	felix.goldberry@hogwarts.edu
Nova Stargazer	2006-01-22	nova.stargazer@hogwarts.edu
Cedric Dragonheart	2004-10-28	cedric.dragonheart@hogwarts.edu
Beatrix Willowbrook	2005-07-07	beatrix.willowbrook@hogwarts.edu
Seraphina Silverwing	2006-04-18	seraphina.silverwing@hogwarts.edu
Artemis Quickspell	2004-03-21	artemis.quickspell@hogwarts.edu
Dorian Eldermoss	2005-01-15	dorian.eldermoss@hogwarts.edu
Iris Nightbloom	2006-07-29	iris.nightbloom@hogwarts.edu
Lysander Stormcrow	2005-10-03	lysander.stormcrow@hogwarts.edu
Penelope Clearwater	2004-04-26	penelope.clearwater@hogwarts.edu
Quinton Ashwood	2006-02-17	quinton.ashwood@hogwarts.edu
Rosalind Dreamweaver	2005-08-08	rosalind.dreamweaver@hogwarts.edu
Silas Whitethorn	2004-11-30	silas.whitethorn@hogwarts.edu
Thalia Moonshadow	2006-12-13	thalia.moonshadow@hogwarts.edu
Ulysses Fireheart	2005-09-24	ulysses.fireheart@hogwarts.edu
Vespera Sunseeker	2004-05-05	vespera.sunseeker@hogwarts.edu
Wren Silverspell	2006-03-19	wren.silverspell@hogwarts.edu
